term,coefficient_log_odds,robust_se,p_value,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Other]",0.3475599968012343,0.04327150128183798,9.583679132701566e-16,1.4156092400931128,1.300500789176521,1.54090603966946
"C(tournament_grouped, Treatment(reference='Friendly'))[T.SAFF Cup]",0.4141986632242998,0.16034591082049174,0.009790075826501037,1.5131577058151275,1.1050896390014722,2.071909971698368
"C(tournament_grouped, Treatment(reference='Friendly'))[T.South Pacific Games]",0.3061903521910261,0.16184651132004407,0.05851012128039835,1.3582408260594157,0.9890375494227762,1.8652660282223255
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Southeast Asian Games]",0.8519536933397927,0.16305522606979508,1.74212050201367e-07,2.344222272427012,1.7029658059278967,3.2269456282761895
"C(tournament_grouped, Treatment(reference='Friendly'))[T.UEFA Euro]",-0.022202656065114675,0.11762914768138154,0.85028773244933,0.97804200882099,0.7766608199713142,1.231639534815118
"C(tournament_grouped, Treatment(reference='Friendly'))[T.UEFA Euro qualification]",0.06859819964821949,0.0510852262750366,0.17933067079027487,1.0710057921792355,0.9689647901820994,1.1837926604803708
"C(tournament_grouped, Treatment(reference='Friendly'))[T.UEFA Nations League]",-0.06472134103931457,0.08937694544237806,0.46898034072137784,0.9373286220082467,0.7867089389235263,1.1167852583931086
"C(tournament_grouped, Treatment(reference='Friendly'))[T.UNCAF Cup]",0.4150798796297472,0.1784192891442231,0.019995654777692776,1.5144917128976578,1.0675694245997425,2.1485114649997024
"C(tournament_grouped, Treatment(reference='Friendly'))[T.WAFF Championship]",0.0409573456894792,0.19955201929225258,0.8373795716267393,1.0418076670100072,0.7045771628110812,1.5404462028126409
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Windward Islands Tournament]",0.12331720461302123,0.22396123333350632,0.5818952050466404,1.1312431996027217,0.7293228729118681,1.7546565782834622
is_home,0.47258640130648577,0.028207165749111144,5.283185517099442e-63,1.6041377764637632,1.5178598849855887,1.695319858790878
elo_diff_100,0.6123426101034408,0.008925654376485976,0.0,1.8447478658968506,1.8127565616547936,1.8773037487308468
form_points_diff_5,-0.2035823277695888,0.0190535621403628,1.1998680234399155e-26,0.8158030383133296,0.7858992909362791,0.8468446339077071
form_goals_for_diff_5,0.12766025092562652,0.01307821946204118,1.6504756578284658e-22,1.1361669254548241,1.1074138275161478,1.1656665741593741
form_goals_against_diff_5,-0.2809534682743348,0.011950258927387606,3.204753324533158e-122,0.7550634690689909,0.7375838182379748,0.7729573618961292
rest_diff_7,-0.004380698813410908,0.0007586520817499795,7.726512620124605e-09,0.9956288824516512,0.9941495513477714,0.9971104148546333
home_rest_known,1.5078023341226388,0.20794321848076375,4.1361671242607187e-13,4.516793475963864,3.0048904609834213,6.7894066587149
away_rest_known,-1.7530629551495969,0.1845761452075868,2.1441983911280865e-21,0.17324249597087474,0.12065433560541336,0.248751628025806
travel_1000,0.014197945534219335,0.003653798045527179,0.00010199148804115803,1.014299215068432,1.007061448231073,1.0215889998525451
away_travel_known,-0.3091185200427535,0.12968764949402448,0.017146007893165095,0.7340937600463262,0.5693262457530666,0.9465462949563144
Month_Sin,4.068025971643431e-05,0.015358002564173585,0.9978865667545974,1.0000406810871694,0.9703868702971156,1.030600675298793
Month_Cos,-0.007318755736747028,0.015724053544482055,0.6416094621434503,0.9927079611381937,0.9625807363895623,1.023778119436959
year_decade,-0.04956469933951892,0.004647838665158104,1.4995264539357134e-26,0.951643585433192,0.9430138627860821,0.9603522805280093
